Date,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Delhi
2019-01-01,106.16,310.25,190.79,323.31,269.74,142.09,284.93,233.91,353.25,374.34,479.32,58.18,71.75,331.9,290.95,75.91,124.22,324.14,310.49,85.82,347.48,375.95,286.86,111.95,95.1,589.51,162.93,88.94,188.87
2019-01-02,116.86,310.83,200.08,310.41,252.91,136.7,288.49,237.93,346.4,377.17,482.74,53.11,74.56,349.42,296.68,79.74,122.54,325.99,300.03,92.13,350.14,378.85,277.75,100.48,96.32,579.15,164.16,86.28,189.28
2019-01-03,103.08,311.33,195.55,312.64,261.14,145.11,282.41,247.56,360.07,379.71,482.72,44.43,78.73,346.4,280.32,74.09,119.58,318.34,297.52,87.55,352.16,378.28,277.13,100.04,91.34,588.66,153.86,73.54,199.48
2019-01-04,114.95,309.33,186.0,314.24,253.66,136.55,282.83,239.41,348.02,372.41,480.04,55.86,82.62,343.06,278.38,79.81,129.73,333.23,296.95,88.71,345.41,372.11,287.31,99.3,99.94,592.83,155.47,72.5,185.87
2019-01-05,100.14,312.11,182.23,321.14,253.04,141.8,272.81,246.58,352.08,380.51,481.56,49.59,76.55,338.11,288.29,73.77,126.4,331.71,302.05,94.74,358.87,383.12,276.75,98.48,94.85,594.42,158.02,81.88,188.55
2019-01-06,104.99,296.37,188.12,313.65,265.23,143.25,275.59,238.51,354.05,384.32,481.28,56.64,78.2,338.01,283.73,70.35,118.95,322.86,293.03,88.47,361.68,378.64,275.06,116.36,106.81,578.69,159.99,70.64,204.06
2019-01-07,106.23,300.04,196.96,321.3,256.19,150.8,275.74,244.25,351.04,373.13,495.58,43.53,75.12,345.88,290.13,88.43,117.7,323.07,304.96,85.54,361.25,386.9,278.01,112.44,103.38,594.62,156.16,74.83,195.96
2019-01-08,109.86,309.36,188.6,313.28,262.95,140.44,287.94,243.17,349.13,385.67,485.02,58.46,80.0,338.13,296.48,83.1,128.51,320.06,296.14,87.34,347.96,374.41,270.35,107.66,91.99,596.92,164.44,79.66,196.44
2019-01-09,107.98,297.4,200.07,313.14,257.59,155.47,289.65,236.54,352.95,384.22,486.18,59.73,82.35,333.24,287.55,78.99,122.9,318.79,297.57,85.3,357.29,383.34,276.69,102.6,99.0,585.99,170.13,85.07,188.72
2019-01-10,108.11,299.28,182.73,310.96,266.96,141.87,290.83,242.77,354.88,386.54,481.4,53.44,75.79,345.9,294.68,69.63,128.29,333.47,310.54,97.07,356.95,373.31,282.52,115.04,88.69,597.5,167.68,82.16,201.16
2019-01-11,102.71,299.35,197.39,319.62,252.73,146.28,283.41,250.19,343.84,372.86,486.24,52.0,86.7,333.05,283.63,82.32,116.56,328.15,301.68,95.07,358.61,386.98,284.94,100.25,96.54,588.67,152.33,85.23,187.74
2019-01-12,109.22,309.09,182.15,305.8,271.41,153.73,279.85,240.21,343.78,374.02,481.93,48.96,79.53,344.05,288.01,77.28,119.4,330.57,305.75,84.71,348.39,375.22,283.96,112.72,102.13,591.02,161.48,75.45,199.25
2019-01-13,114.36,297.74,185.3,303.89,263.84,141.34,274.48,250.05,359.6,382.93,488.85,46.74,77.62,337.69,292.6,80.26,121.19,333.17,293.1,93.89,343.43,380.15,269.78,107.34,92.87,591.03,151.8,82.58,192.69
2019-01-14,107.39,303.9,193.61,307.54,257.12,148.83,280.38,247.46,345.96,380.4,487.28,51.22,75.27,345.69,281.29,77.73,113.55,323.36,308.98,82.56,347.06,382.83,282.72,98.57,88.79,594.54,163.04,76.04,191.51
2019-01-15,109.43,305.2,194.31,317.14,255.95,147.9,282.34,246.99,352.44,379.43,480.89,56.93,89.75,335.53,289.7,69.81,120.75,327.86,310.58,81.92,357.56,375.39,278.16,107.01,107.24,578.55,165.63,71.52,192.58
2019-01-16,116.5,308.05,183.12,309.91,262.42,140.19,283.53,236.69,357.19,371.68,491.4,55.16,87.94,344.08,292.86,81.25,112.32,334.18,307.38,99.35,361.68,383.1,269.28,110.99,98.12,587.64,162.06,87.35,185.82
2019-01-17,115.56,309.36,192.96,314.82,261.16,144.48,283.2,250.52,356.95,377.68,480.78,42.4,78.82,339.24,278.97,82.65,112.75,320.26,310.46,80.91,352.62,371.29,276.95,97.63,96.72,579.95,164.38,89.56,196.91
2019-01-18,112.12,303.82,186.07,318.47,263.05,145.15,276.99,241.13,343.91,373.64,493.71,46.67,74.19,335.34,288.34,76.45,125.51,316.0,306.62,92.54,346.73,374.52,275.88,106.24,96.0,596.65,160.75,77.99,189.56
2019-01-19,99.84,299.6,192.0,318.62,269.06,142.6,289.2,245.56,350.85,383.21,489.86,53.74,76.09,332.01,295.12,80.02,113.25,327.59,293.92,89.38,359.08,374.86,272.06,106.37,91.51,582.58,152.43,81.3,188.87
2019-01-20,119.65,302.74,201.22,309.09,255.63,154.67,271.89,239.91,356.48,372.0,495.13,51.28,85.36,333.86,287.92,81.93,128.13,322.54,304.24,89.04,360.8,383.79,286.27,98.62,91.18,586.73,166.06,85.21,200.61
2019-01-21,115.8,309.14,195.31,311.05,268.85,155.1,285.89,239.07,360.18,386.44,482.74,58.77,82.32,334.95,294.68,88.02,129.91,325.62,294.64,81.18,361.32,371.32,286.26,109.87,107.26,595.12,167.68,84.87,204.38
2019-01-22,106.83,308.49,198.19,323.03,266.31,138.83,290.09,238.62,356.76,383.23,489.12,49.07,88.99,348.0,289.9,80.48,117.36,333.28,310.52,86.2,360.49,385.1,285.06,116.99,94.77,581.2,165.49,73.53,202.55
2019-01-23,115.63,300.23,189.61,312.69,268.05,149.04,289.02,241.69,348.43,390.18,485.16,41.28,76.33,338.01,288.6,77.57,115.12,319.72,294.24,89.35,350.34,371.89,288.89,116.03,96.81,589.8,160.66,80.93,197.89
2019-01-24,117.52,296.21,194.64,308.95,258.44,140.35,288.21,236.4,361.88,384.83,492.98,53.43,89.51,346.22,284.69,87.53,122.44,330.75,301.03,93.55,360.2,386.85,275.46,108.42,98.76,577.84,159.96,88.53,197.87
2019-01-25,117.97,312.92,182.68,316.46,269.13,154.48,288.68,240.85,355.87,387.78,485.91,51.99,87.15,344.3,295.11,74.83,115.46,327.28,302.25,89.18,358.74,374.79,281.79,97.92,88.08,583.94,159.02,88.88,190.11
2019-01-26,113.39,314.34,200.02,304.01,252.64,151.07,287.44,237.99,344.57,389.01,490.32,56.37,78.09,347.94,278.29,72.15,124.25,328.15,305.19,89.66,361.23,383.89,278.39,106.73,100.54,579.47,152.3,83.48,199.73
2019-01-27,115.85,306.11,195.11,314.97,265.33,136.73,277.0,246.63,347.21,388.44,488.45,53.67,83.32,334.03,296.96,82.24,127.03,325.46,308.58,100.78,344.25,376.89,273.03,98.04,104.43,593.22,165.42,85.29,185.37
2019-01-28,119.78,310.33,200.81,322.9,268.13,143.51,276.65,234.43,347.13,373.11,490.51,44.55,82.98,345.63,285.29,80.64,129.66,315.98,296.54,89.21,351.49,383.96,274.94,98.21,97.94,591.67,162.36,75.32,204.52
2019-01-29,112.38,300.5,182.41,320.92,254.45,153.15,285.52,249.01,351.34,377.85,481.53,49.74,81.96,340.11,284.89,86.14,123.58,330.42,298.89,84.08,357.65,388.94,275.98,114.1,90.18,585.03,169.39,75.37,186.66
2019-01-30,103.61,314.6,189.21,311.78,256.82,141.07,286.42,245.41,362.03,387.23,486.96,58.47,79.96,336.52,282.89,82.82,123.68,334.36,307.19,85.61,351.47,378.0,282.16,110.21,96.84,581.0,165.6,87.18,191.16
2019-01-31,114.89,309.22,192.45,315.34,253.45,153.88,282.25,234.99,358.25,379.34,483.14,56.63,82.23,340.7,289.9,76.57,116.09,333.34,310.12,81.47,348.15,377.9,272.43,112.2,97.95,577.85,167.14,90.18,202.15
2019-02-01,104.41,300.24,194.99,318.53,269.55,148.78,290.02,234.37,353.91,381.6,484.61,60.34,71.4,340.33,295.02,80.95,118.09,323.87,298.81,99.75,343.9,387.57,275.16,99.97,92.05,595.81,167.37,85.84,199.76
2019-02-02,105.21,304.17,196.13,312.24,268.04,144.86,282.42,237.98,351.33,388.9,496.23,44.59,73.02,337.44,285.25,74.64,125.93,318.11,293.48,85.24,350.36,384.33,288.42,104.2,97.15,585.0,169.08,86.08,204.18
2019-02-03,119.51,307.88,183.88,307.17,267.65,141.33,290.66,243.43,344.45,389.82,490.48,50.38,70.88,347.02,277.39,78.59,113.72,320.38,304.74,87.12,343.25,386.43,280.89,102.9,101.64,587.27,157.45,72.44,192.32
2019-02-04,114.38,315.39,183.17,321.27,253.74,136.29,275.9,242.32,348.83,379.03,493.74,44.73,85.82,347.14,295.23,69.23,116.98,322.22,293.01,89.95,344.54,372.61,287.02,101.55,106.95,596.72,161.19,70.77,195.87
2019-02-05,102.98,297.08,186.27,309.54,270.28,135.78,279.58,247.02,357.98,385.7,494.79,53.06,74.39,335.11,280.43,69.55,120.48,320.15,305.89,97.12,358.89,375.28,276.43,101.71,94.76,588.21,167.62,90.38,198.37
2019-02-06,100.87,298.68,183.79,316.45,270.22,147.48,280.01,235.25,358.88,386.92,488.61,52.56,79.74,334.08,282.83,72.88,124.66,334.1,310.93,83.33,353.56,374.61,279.66,112.77,105.46,597.22,158.79,74.62,193.72
2019-02-07,106.37,299.62,183.83,304.93,253.67,141.02,273.9,235.82,348.96,390.9,478.38,58.31,89.74,347.91,284.79,74.61,114.54,315.82,295.51,92.8,350.42,373.35,279.19,109.84,104.41,581.1,155.64,86.98,204.54
2019-02-08,119.3,315.32,197.21,312.81,260.5,138.82,282.89,243.66,344.38,379.61,481.65,48.68,74.43,334.14,280.2,86.25,113.84,328.28,291.36,90.31,343.56,388.82,286.76,100.01,97.03,582.91,166.1,86.52,187.6
2019-02-09,115.43,295.97,182.01,315.35,265.14,148.28,284.32,249.2,344.33,372.96,483.94,50.33,84.48,345.95,292.47,73.65,124.25,315.3,301.56,91.33,347.53,377.19,273.28,105.11,105.65,578.85,154.78,84.7,190.82
2019-02-10,116.47,311.68,197.87,313.06,260.73,137.73,273.7,236.2,345.38,376.32,485.29,47.17,85.46,335.9,284.51,81.96,119.6,324.87,298.72,88.15,359.72,380.04,278.32,115.78,93.42,583.29,159.18,83.95,200.0
2019-02-11,103.88,298.91,183.89,315.32,256.36,147.04,274.76,245.52,349.2,372.45,487.63,49.6,83.63,337.1,294.51,79.0,115.42,332.9,307.97,97.54,348.04,373.54,284.99,113.63,104.01,589.26,159.46,89.89,189.97
2019-02-12,117.13,313.75,201.04,306.57,261.1,141.26,271.14,250.45,358.23,378.83,479.86,46.93,79.26,347.25,280.27,84.29,129.77,319.82,305.8,81.77,348.09,380.74,286.75,108.97,97.99,589.7,153.9,75.11,186.76
2019-02-13,119.31,297.59,183.33,304.39,254.73,152.47,287.37,238.93,359.89,388.09,492.47,54.23,89.52,338.38,288.06,86.28,122.4,317.26,303.93,99.19,347.55,385.71,285.84,108.77,96.46,586.0,165.28,75.74,191.41
